# Формат: категория,название_детали,тип_тюнинга,множитель_цены,для_машины
# для_машины = id машины или * (для всех)

# ========== МОТОР ==========
motor,Поршневая,Кованые,1.5,*
motor,Коленвал,Облегчённый,1.3,*
motor,ГБЦ,Спортивная,1.4,*
motor,Впуск/выпуск,Прямоток,1.2,*
motor,Впуск/выпуск,Турбина,1.8,*
motor,Впуск/выпуск,Би-турбо,2.5,porsche911
motor,Впуск/выпуск,Би-турбо,2.2,toyota_supra
motor,Впуск/выпуск,Турбина,1.9,subaru_wrx
motor,Впуск/выпуск,Турбина,1.9,mitsubishi_evo6
motor,Сцепление,Усиленное,1.3,*
motor,Сцепление,Гоночное,1.8,*

# ========== КУЗОВ ==========
body,Передний бампер,Гоночный,1.2,*
body,Задний бампер,Гоночный,1.2,*
body,Багажник,Карбоновый,1.4,*
body,Капот,Карбоновый,1.5,*
body,Крылья,Широкие,1.3,*
body,Спойлер,Гоночный,1.2,*

# ========== ХОДОВАЯ ==========
susp,Пружины,Заниженные,1.2,*
susp,Пружины усиленные,Заниженные,1.2,*
susp,Рессоры,Усиленные,1.3,*
susp,Амортизаторы,Спортивные,1.3,*
susp,Амортизаторы,Гоночные,1.8,*
susp,Стабилизатор,Усиленный,1.2,*
susp,Тормоза передние,Карбон-керамика,2.0,*
susp,Тормоза задние,Дисковые,1.2,*
susp,Тормоза задние,Карбон-керамика,2.0,*

# ========== КПП (с привязкой к конкретным машинам) ==========
susp,КПП,Улучшенная,1.2,*
susp,КПП,Спортивная,1.5,*
susp,КПП,Гоночная,2.0,*
susp,КПП,Секвентальная,2.5,porsche911
susp,КПП,Секвентальная,2.3,toyota_supra
susp,КПП,Секвентальная,2.2,nissan_r34

# ========== ДИСКИ ==========
wheel,Диски,Кованые,1.3,*
wheel,Диски,Магниевые,1.8,*
wheel,Диски,Карбоновые,2.5,*
